Tasks: 885 total,   7 running, 878 sleeping,   0 stopped,   0 zombie
  Mem:  3754184K total,  3669424K used,    84760K free,     1752K buffers
 Swap:  8388604K total,  1717148K used,  6671456K free,   657376K cached
800%cpu 181%user   3%nice 200%sys 384%idle   3%iow  25%irq   3%sirq   0%host
  PID USER         PR  NI VIRT  RES  SHR S[%CPU] %MEM     TIME+ ARGS
20605 u0_a109      20   0  10G  49M  37M S  0.0   1.3   0:21.83 com.samsung.android.scs
26708 u0_a285      20   0 8.6G  48M  37M S  0.0   1.3   0:05.87 com.google.android.permissioncontroller
21323 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-kbase_event]
15714 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-dio/dm-63]
11028 vendor_bcmgr 20   0 8.0G  39M  28M S  0.0   1.0   0:02.96 com.samsung.android.beaconmanager
 8567 u0_a66       20   0 8.4G  39M  29M S  0.0   1.0   0:03.21 com.samsung.android.providers.media
 6146 u0_a198      10 -10  10G  67M  50M S  0.0   1.8   0:32.20 com.samsung.android.honeyboard
 5847 vendor_spay  20   0 7.9G  35M  26M S  0.0   0.9   0:01.04 com.samsung.android.spayfw
 5843 root         20   0    0    0    0 S  0.0   0.0   0:00.15 [fuse-wd0:160]
 5759 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-kbase_event]
 5606 u0_a92       20   0 8.2G  45M  34M S  0.0   1.2   0:03.39 com.samsung.android.mcfds
 5474 u0_a277      20   0 8.6G  44M  33M S  0.0   1.2   0:12.59 com.google.android.providers.media.module
 4049 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-fs_suspend_syssync]
 3701 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-kbase_event]
 3351 u0_a116      20   0 8.2G  44M  32M S  0.0   1.2   0:02.82 com.samsung.android.mcfserver
 3302 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [zram0_prefetchd]
 3287 system       20   0 2.1G 3.4M 3.4M S  0.0   0.0   0:01.62 perfsdkserver
 3272 system       20   0 2.1G 4.8M 4.7M S  0.0   0.1   0:01.02 pageboostd
 3218 oem_5013     20   0 8.1G  44M  32M S  0.0   1.1   0:16.48 com.sec.location.nsflp2
